n,f,c,d,time,sched_len
200,2,12,4,1.001153381999984,6008
200,2,8,8,1.8884928340000897,7768
200,2,8,4,1.0526548510000566,4072
300,2,12,12,6.463615250999965,18516
300,2,12,8,4.403852269000026,12444
300,2,12,4,2.326120747999994,6372
300,2,8,8,4.603051117999939,8396
300,2,8,4,2.489684957999998,4348
400,2,12,12,12.123606405000032,19408
400,2,12,8,8.337078046999977,13072
400,2,12,4,4.417967663000013,6736
400,2,8,8,9.198213435999946,8848
400,2,8,4,5.1737308059999805,4624
500,2,12,12,19.671020151999983,20300
500,2,12,8,13.77083439799992,13700
500,2,12,4,7.703322446000016,7100
500,2,8,8,15.536671683999998,9300
500,2,8,4,8.255396521999955,4900
10,2,12,12,0.007187528000031307,3446
10,2,12,8,0.004797764999921128,2264
10,2,12,4,0.0031155570000009902,1174
10,2,8,8,0.004696439999975155,1966
10,2,8,4,0.003031453999938094,1086
20,2,12,12,0.023891457999980048,6508
20,2,12,8,0.016369925999924817,4296
20,2,12,4,0.009386124000002383,2236
20,2,8,8,0.015711305999957403,3426
20,2,8,4,0.009006624999983615,1708
30,2,12,12,0.05330975300000773,8768
30,2,12,8,0.03730540000003657,5902
30,2,12,4,0.020431897999969806,3018
30,2,8,8,0.03559793900001296,4520
30,2,8,4,0.01955281499999728,2256
40,2,12,12,0.09585653099998126,10562
40,2,12,8,0.06543833900002483,6936
40,2,12,4,0.03502292200005286,3504
40,2,8,8,0.06213961899993592,5078
40,2,8,4,0.03430199100000664,2604
50,2,12,12,0.1478532340000811,11552
50,2,12,8,0.10300194000001284,7956
50,2,12,4,0.05487168699994527,3970
50,2,8,8,0.09923666699990008,5598
50,2,8,4,0.05338303900009578,2830
60,2,12,12,0.21782929100004367,12612
60,2,12,8,0.14525181399994835,8402
60,2,12,4,0.07966925000005176,4344
60,2,8,8,0.1403200669999478,5814
60,2,8,4,0.07718631299997014,3004
70,2,12,12,0.29018758200004413,13116
70,2,12,8,0.1967693670000017,8794
70,2,12,4,0.1045430919999717,4414
70,2,8,8,0.19355650600004992,6018
70,2,8,4,0.10179560500000662,3056
80,2,12,12,0.39107024800000545,13832
80,2,12,8,0.27217538200000035,9406
80,2,12,4,0.14120243699994717,4748
80,2,8,8,0.26248059800002466,6416
80,2,8,4,0.1390559400000484,3242
90,2,12,12,0.48783303300001535,14198
90,2,12,8,0.33043626200003473,9428
90,2,12,4,0.17486155900007816,4790
90,2,8,8,0.3227839539999877,6414
90,2,8,4,0.1750714519999974,3252
100,2,12,12,0.6135748300000614,14782
100,2,12,8,0.4122749020000356,9784
100,2,12,4,0.22204064899995046,5092
100,2,8,8,0.4047090389999539,6612
100,2,8,4,0.22181988599993474,3444
200,2,12,12,2.731479626999999,17096
200,2,12,8,1.8525907629999665,11552
200,2,12,4,0.9970250039999655,6002
200,2,8,8,1.8852116409999553,7768
200,2,8,4,1.0487404579999975,4072
300,2,12,12,6.499449056000003,18516
300,2,12,8,4.384980218999999,12444
300,2,12,4,2.3410553730000174,6372
300,2,8,8,4.7049090379999825,8396
300,2,8,4,2.53726434400005,4348
400,2,12,12,12.068460978000076,19408
400,2,12,8,8.230947454000102,13072
400,2,12,4,4.518947844000081,6736
400,2,8,8,8.986662375000037,8848
400,2,8,4,5.57189831300002,4624
500,2,12,12,19.47442800400006,20300
500,2,12,8,13.931487712000035,13700
500,2,12,4,7.388000640999962,7100
500,2,8,8,15.601714305999963,9300
500,2,8,4,9.268301634000068,4900
10,2,12,12,0.00709718600000997,3322
10,2,12,8,0.00482077100002698,2372
10,2,12,4,0.0030922639999744206,1224
10,2,8,8,0.004773023999973702,1984
10,2,8,4,0.0030468920000430444,1054
20,2,12,12,0.024338582000041242,6652
20,2,12,8,0.016309392000039225,4192
20,2,12,4,0.00938437199999953,2190
20,2,8,8,0.015863112000033652,3518
20,2,8,4,0.00903627200000301,1754
30,2,12,12,0.0535601389999556,8944
30,2,12,8,0.03763629000002311,6050
30,2,12,4,0.020407337999927222,3026
30,2,8,8,0.03579305700009172,4538
30,2,8,4,0.019685285000036856,2328
40,2,12,12,0.09580731400001241,10458
40,2,12,8,0.06591125600004943,7008
40,2,12,4,0.035172312999975475,3552
40,2,8,8,0.06265578800002913,5082
40,2,8,4,0.03402418499990745,2560
50,2,12,12,0.14879473500002405,11672
50,2,12,8,0.10244054499992217,7912
50,2,12,4,0.054782223999950475,4008
50,2,8,8,0.09932987400009097,5562
50,2,8,4,0.05299544299998615,2794
60,2,12,12,0.21969231900004615,12618
